price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,source
0.590056595,0.474821572,0.67344743,0.870183076,0.191654217,0.527886246,0.016710877,0.129396783,-0.166135177,0.74907224,1,-0.092970391,0.439738009,0.010382339,-0.272924526,-0.007871651,0.357491365,0.733195092,0.186899538,person
0.293719757,0.299027969,0.259637877,0.40969321,-0.000605549,-0.258611704,0.030428564,0.260437048,0.178548048,0.142316128,-0.092970391,1,-0.139697151,0.060744527,0.080866794,0.111469334,-0.153730028,0.178876428,-0.002124214,person
0.062761034,0.1555089,0.51974731,0.333752036,0.069867073,0.494097774,-0.000463366,-0.047545041,-0.361662938,0.456413326,0.439738009,-0.139697151,1,-0.220330556,-0.348993346,-0.152337686,0.412294769,0.333652115,0.079156078,person
0.104981963,0.018889773,0.041363908,0.039572969,-0.001960593,0.004262359,-0.003601716,0.064056337,-0.063214311,0.003409353,0.010382339,0.060744527,-0.220330556,1,0.066071194,0.032382985,-0.066891544,-0.01809336,-0.005956578,person
-0.05713258,-0.155374166,-0.209967135,-0.21003243,-0.141550661,-0.061290062,0.030660061,0.085612427,0.002419016,-0.191335332,-0.272924526,0.080866794,-0.348993346,0.066071194,1,0.268929132,-0.565170277,-0.284163283,-0.155931323,person
0.33880632,-0.013063383,0.019487384,0.047951101,-0.08408837,0.046765664,-0.010980555,0.0090138,-0.01348802,0.110912745,-0.007871651,0.111469334,-0.152337686,0.032382985,0.268929132,1,-0.138427935,0.04605526,-0.081534415,person
0.026481842,0.129889465,0.229342623,0.251453883,0.252804987,0.127096784,-0.022320752,-0.077276387,-0.105782536,0.203517347,0.357491365,-0.153730028,0.412294769,-0.066891544,-0.565170277,-0.138427935,1,0.341089066,0.269786897,person
0.595916227,0.38976761,0.563117425,0.760268035,0.15855224,0.278392597,0.035314598,0.25872797,-0.096940461,0.709542989,0.733195092,0.178876428,0.333652115,-0.01809336,-0.284163283,0.04605526,0.341089066,1,0.189957315,person
0.070357088,0.027304957,0.072160287,0.170184556,0.722492575,-0.019342295,0.006379357,0.044743352,-0.006286771,0.112775215,0.186899538,-0.002124214,0.079156078,-0.005956578,-0.155931323,-0.081534415,0.269786897,0.189957315,1,person
1,0.342561036,0.4912166,0.638653954,0.060928962,0.319237146,0.06143184,0.273766366,0.016494966,0.654009787,0.534864234,0.24482083,0.104434693,0.090441485,-0.00971742,0.461591516,0.065100686,0.566216403,0.049247599,spearman
0.342561036,1,0.518408097,0.648149893,0.21583947,0.224948812,-0.011464731,0.07842967,0.012584392,0.376928452,0.537663409,0.227279687,0.180479895,0.016918518,-0.168202869,-0.024997447,0.190707813,0.442893906,0.202179641,spearman
0.4912166,0.518408097,1,0.742634544,0.059686641,0.547265323,0.025070282,0.143000503,-0.166214817,0.653973096,0.687286284,0.184074671,0.573381195,0.036393974,-0.207570901,0.005179208,0.264175136,0.567103117,0.055616857,spearman
0.638653954,0.648149893,0.742634544,1,0.296928944,0.399344602,0.033682999,0.218373618,-0.064381917,0.711878803,0.840969663,0.321008082,0.356623276,0.04325837,-0.210031735,0.028404198,0.287701612,0.744890815,0.27784204,spearman
0.060928962,0.21583947,0.059686641,0.296928944,1,-0.242382133,0.039505427,0.0929454,0.114054613,0.143975243,0.265720994,0.028187311,-0.035358244,-0.006106998,-0.323156249,-0.121294387,0.377074618,0.353833057,0.922197757,spearman
0.319237146,0.224948812,0.547265323,0.399344602,-0.242382133,1,0.007547197,0.010008099,-0.291000189,0.500935645,0.598604665,-0.278289541,0.55630083,0.010164216,-0.063425164,0.021959071,0.150254422,0.303335408,-0.238488289,spearman
0.06143184,-0.011464731,0.025070282,0.033682999,0.039505427,0.007547197,1,0.151775492,0.004232197,0.038861941,0.021541034,0.025125872,-0.003788954,-0.003573118,0.030074555,-0.016445299,-0.022651653,0.036134633,0.040290872,spearman
0.273766366,0.07842967,0.143000503,0.218373618,0.0929454,0.010008099,0.151775492,1,0.04120725,0.20591987,0.128545493,0.229977941,-0.061707949,0.067142792,0.078842414,0.001848569,-0.101596546,0.24262874,0.09158103,spearman
0.016494966,0.012584392,-0.166214817,-0.064381917,0.114054613,-0.291000189,0.004232197,0.04120725,1,-0.170218512,-0.160756477,0.162181501,-0.393825529,-0.06925749,-0.023251691,-0.021310333,-0.084360088,-0.088754045,0.117574457,spearman
0.654009787,0.376928452,0.653973096,0.711878803,0.143975243,0.500935645,0.038861941,0.20591987,-0.170218512,1,0.70774559,0.082800497,0.505274637,0.008203149,-0.184178338,0.10137615,0.22456625,0.659439177,0.149191158,spearman
0.534864234,0.537663409,0.687286284,0.840969663,0.265720994,0.598604665,0.021541034,0.128545493,-0.160756477,0.70774559,1,-0.178367344,0.476882574,0.02277169,-0.282658211,-0.029377015,0.389725375,0.694058256,0.248660998,spearman
